property_id,lon,lat,fips_code,is_new_construction,is_contingent,is_price_reduced,is_foreclosure,is_plan,is_coming_soon,year_built,lot_sqft,sqft,baths,garage,stories,beds,list_price,encoded_city,encoded_type,central_air,laundry_room,community_outdoor_space,fireplace,dishwasher,recreation_facilities,central_heat,forced_air,shopping,hardwood_floors,basement,family_room,view,dining_room,washer_dryer,community_security_features,community_swimming_pool,floor_plan,updated_kitchen,city_view,swimming_pool,pets_allowed,park,modern_kitchen,ensuite,fenced_yard,open_floor_plan,rental_property,corner_lot,community_clubhouse,big_lot,den_or_office,carport,groundscare,hill_or_mountain_view,spa_or_hot_tub,big_yard,farm,high_ceiling,new_roof,views,master_bedroom,water_view,vaulted_ceiling,ranch,trails,cul_de_sac,clubhouse,tennis_court,master_suite
1380477697.0,-117.911367,34.059166,6037.0,,,,,,,64.0,8868.0,2300.0,2.5,2.0,1.0,4.0,899999.0,514,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1381864271.0,-117.125567,33.55274,6065.0,,,,,,,20.0,7841.0,3658.0,3.0,3.0,2.0,5.0,889900.0,317,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1381940880.0,-122.47197,47.258701,53053.0,,,,,,,119.0,5000.0,1627.0,3.0,2.0,,4.0,699950.0,474,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1382504977.0,-118.90523,34.181958,6111.0,,,,,,,24.0,5451.0,2566.0,3.0,3.0,2.0,5.0,1189000.0,330,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1384396185.0,-104.866003,39.743181,8001.0,,,,,,,50.0,,681.0,1.0,,1.0,1.0,125000.0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1385614986.0,-117.221683,33.887646,6065.0,,,,,,,34.0,6970.0,1578.0,2.5,2.0,2.0,3.0,559000.0,311,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1385718897.0,-122.112201,37.673733,6001.0,,,,,,,60.0,7500.0,3640.0,4.0,,,8.0,1499000.0,199,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1386375560.0,-117.092903,32.944955,6073.0,,,,,,1.0,30.0,,1273.0,2.5,2.0,2.0,2.0,849900.0,432,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1386555347.0,-111.72534,33.233228,4013.0,,,,,,,11.0,6727.0,2645.0,3.0,3.0,2.0,4.0,589000.0,178,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1389478752.0,-123.046871,44.875656,41047.0,,,,,,,34.0,11326.0,2840.0,2.5,3.0,,5.0,649000.0,426,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1390000628.0,-117.762583,33.704126,6059.0,,,,,,,44.0,5000.0,2828.0,2.5,2.0,2.0,4.0,1838880.0,227,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1391014511.0,-111.878997,33.711646,4013.0,,,,,,,,199505.0,,,,,,1800000.0,445,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1391909476.0,-122.217756,38.077945,6095.0,,,,,,,37.0,6000.0,1834.0,2.5,2.0,2.0,3.0,699000.0,495,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1392200787.0,-122.410771,37.747768,6075.0,,,,,,,98.0,2500.0,2200.0,,2.0,3.0,4.0,1425000.0,433,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1392283909.0,-112.02974,33.638041,4013.0,,,,,,,39.0,118.0,1134.0,2.0,,2.0,2.0,249900.0,383,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1393811568.0,-121.977817,37.956795,6013.0,,,1.0,,,,62.0,7000.0,1284.0,2.0,2.0,1.0,3.0,798888.0,96,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1393948586.0,-118.008476,33.675711,6059.0,,,,,,,21.0,4356.0,3399.0,4.0,2.0,2.0,4.0,1879000.0,219,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1393980867.0,-122.198734,47.620572,53033.0,,,,,,,21.0,43078.0,761.0,1.0,,,1.0,599000.0,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1394007190.0,-117.253717,33.979281,6065.0,,,,,,,19.0,13504.0,2645.0,3.0,3.0,1.0,4.0,810000.0,311,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1394215593.0,-122.493659,37.687151,6081.0,,,,,,,67.0,3400.0,2365.0,3.0,,,4.0,1300000.0,107,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1394676173.0,-119.276484,34.275923,6111.0,,1.0,,,,,,6806.0,,,,,,335000.0,499,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1394799619.0,-123.126399,44.087525,41039.0,,,,,,,57.0,13068.0,1658.0,2.0,,1.0,3.0,419900.0,150,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1396002035.0,-122.379809,37.913296,6013.0,,,,,,,35.0,,914.0,1.0,2.0,1.0,1.0,529000.0,413,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1396169472.0,-117.597052,33.864371,6065.0,,,,,,,43.0,,731.0,1.0,,1.0,1.0,335000.0,414,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1396307742.0,-118.043825,33.711149,6059.0,,,,,,,9.0,3616.0,2089.0,3.0,2.0,2.0,4.0,1995000.0,219,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1398962491.0,-117.188707,33.576397,6065.0,,,,,,,35.0,5227.0,1542.0,2.5,2.0,2.0,3.0,559000.0,317,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
