,AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,MI,MN,MO,NC,NE,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI
2009-06-30,1017.0,857.0,5431.0,22815.0,4432.0,4182.0,13161.0,4548.0,577.0,762.0,754.0,6015.0,2175.0,113.0,1317.0,1359.0,5082.0,2490.0,3354.0,3770.0,5212.0,4632.0,1045.0,715.0,1313.0,11124.0,4555.0,2334.0,1909.0,8272.0,1215.0,1863.0,3634.0,9944.0,2207.0,7700.0,2754.0,2073.0
2009-07-31,957.0,891.0,5524.0,24415.0,4734.0,4707.0,13220.0,4789.0,584.0,831.0,700.0,6545.0,2169.0,125.0,1265.0,1358.0,5663.0,2363.0,3653.0,3979.0,5426.0,4907.0,1019.0,789.0,1343.0,13269.0,4660.0,2454.0,2159.0,8612.0,1303.0,1941.0,3622.0,10388.0,2122.0,7377.0,2843.0,2296.0
2009-08-31,807.0,723.0,4798.0,21705.0,4096.0,4129.0,12190.0,4181.0,575.0,731.0,659.0,6139.0,1976.0,116.0,1160.0,1199.0,5360.0,2419.0,3398.0,3715.0,4667.0,4277.0,983.0,674.0,1277.0,13710.0,4451.0,2137.0,1907.0,8176.0,1187.0,1762.0,3330.0,9061.0,1887.0,6826.0,2573.0,1963.0
2009-09-30,874.0,769.0,4930.0,22190.0,4006.0,3510.0,12696.0,4142.0,604.0,785.0,679.0,5944.0,1916.0,111.0,1189.0,1208.0,4300.0,2365.0,3734.0,3619.0,4668.0,4055.0,983.0,711.0,1424.0,12916.0,4405.0,2204.0,1940.0,7498.0,1144.0,1808.0,3370.0,8556.0,1846.0,6470.0,2680.0,1711.0
2009-10-31,839.0,839.0,5303.0,23493.0,4126.0,4046.0,13704.0,4370.0,671.0,771.0,729.0,6267.0,2020.0,84.0,1266.0,1157.0,4771.0,2388.0,3968.0,3807.0,4966.0,4486.0,1042.0,770.0,1638.0,13008.0,4504.0,2240.0,2136.0,7992.0,1200.0,1768.0,3534.0,8975.0,1964.0,6566.0,2825.0,1813.0
2009-11-30,845.0,729.0,5138.0,20855.0,3762.0,4247.0,12812.0,4261.0,694.0,719.0,690.0,5979.0,1775.0,87.0,1242.0,1138.0,4829.0,2361.0,3888.0,3357.0,4628.0,4175.0,886.0,680.0,1685.0,15043.0,4285.0,2141.0,1916.0,8609.0,1277.0,1690.0,3209.0,8051.0,1851.0,6463.0,2656.0,1708.0
2009-12-31,763.0,700.0,5036.0,23399.0,3046.0,3243.0,14579.0,4135.0,626.0,420.0,515.0,4958.0,1526.0,80.0,869.0,997.0,3801.0,1843.0,3390.0,2485.0,3144.0,3402.0,526.0,544.0,1954.0,12676.0,3191.0,1591.0,1526.0,6117.0,965.0,1594.0,2847.0,7041.0,1521.0,5594.0,2115.0,1070.0
2010-01-31,597.0,402.0,3920.0,16142.0,2036.0,2120.0,10233.0,2758.0,434.0,288.0,380.0,3327.0,894.0,53.0,620.0,668.0,2382.0,1421.0,2561.0,1867.0,2097.0,2355.0,325.0,353.0,1392.0,9110.0,1938.0,971.0,998.0,3958.0,631.0,980.0,1692.0,4655.0,957.0,4297.0,1384.0,709.0
2010-02-28,585.0,536.0,4407.0,16165.0,2414.0,1898.0,11111.0,3168.0,386.0,332.0,478.0,3218.0,1151.0,66.0,626.0,720.0,2263.0,1278.0,2608.0,1922.0,2558.0,2615.0,429.0,401.0,1434.0,7324.0,2167.0,1221.0,1071.0,3828.0,603.0,1085.0,1957.0,5969.0,1145.0,4050.0,1627.0,824.0
2010-03-31,911.0,779.0,6155.0,23047.0,3685.0,3136.0,15905.0,4442.0,589.0,524.0,748.0,5074.0,1632.0,79.0,931.0,1103.0,3616.0,1978.0,3638.0,2870.0,4168.0,3894.0,714.0,679.0,2071.0,17461.0,3621.0,1902.0,1852.0,6237.0,920.0,1551.0,3119.0,9057.0,1893.0,6209.0,2632.0,1361.0
2010-04-30,1062.0,1037.0,6614.0,24110.0,4225.0,3643.0,16436.0,4770.0,676.0,738.0,829.0,6181.0,2052.0,134.0,1229.0,1288.0,4496.0,2145.0,4093.0,3578.0,5040.0,4677.0,997.0,715.0,2153.0,10554.0,4504.0,2446.0,2100.0,7497.0,1062.0,1820.0,3538.0,10521.0,2128.0,7132.0,2881.0,1998.0
2010-05-31,1094.0,1067.0,6227.0,26762.0,4731.0,4032.0,15365.0,5028.0,659.0,817.0,792.0,6801.0,2303.0,126.0,1345.0,1381.0,4906.0,2479.0,4179.0,3449.0,5557.0,4992.0,962.0,770.0,2120.0,11388.0,5226.0,2351.0,2169.0,8441.0,1128.0,1988.0,3773.0,10648.0,2149.0,7551.0,2981.0,2133.0
2010-06-30,1044.0,988.0,6611.0,27790.0,4487.0,5796.0,16823.0,5410.0,741.0,879.0,779.0,8350.0,2166.0,102.0,1469.0,1319.0,6669.0,2719.0,4749.0,3666.0,5089.0,5187.0,830.0,739.0,2670.0,16755.0,5392.0,2253.0,2164.0,10487.0,1484.0,2128.0,3931.0,10103.0,1791.0,8518.0,3088.0,2286.0
2010-07-31,758.0,697.0,4744.0,22574.0,3342.0,3272.0,12640.0,4121.0,571.0,446.0,565.0,4968.0,1488.0,80.0,881.0,1042.0,3820.0,1787.0,3441.0,2449.0,3338.0,3360.0,487.0,578.0,2070.0,13718.0,3107.0,1545.0,1465.0,6190.0,875.0,1560.0,2751.0,7659.0,1386.0,5919.0,2119.0,1255.0
2010-08-31,746.0,723.0,4831.0,21788.0,3081.0,3473.0,12459.0,3886.0,490.0,488.0,644.0,4979.0,1598.0,78.0,853.0,927.0,4097.0,1851.0,3587.0,2389.0,3448.0,3183.0,535.0,530.0,2006.0,11116.0,3360.0,1531.0,1483.0,6022.0,900.0,1419.0,2741.0,7887.0,1458.0,6632.0,2175.0,1177.0
2010-09-30,658.0,638.0,4381.0,21378.0,2895.0,2839.0,12139.0,3579.0,548.0,502.0,689.0,4522.0,1476.0,94.0,799.0,874.0,3469.0,1853.0,3540.0,2273.0,3330.0,3116.0,583.0,484.0,1985.0,2080.0,3128.0,1434.0,1446.0,5592.0,894.0,1294.0,2532.0,6967.0,1379.0,5390.0,2018.0,1090.0
