,property_id,tag
212,1007139659,fireplace
213,1007139659,forced_air
214,1007139659,garage_1_or_more
215,1007139659,garage_2_or_more
216,1007139659,lake_view
217,1007139659,laundry_room
218,1007139659,ocean_view
219,1007139659,recreation_facilities
220,1007139659,single_story
221,1007139659,spa_or_hot_tub
222,1007139659,view
223,1007139659,water_view
224,1007139659,waterfront
225,1007229537,central_air
226,1007229537,city_view
227,1007229537,family_room
228,1007229537,forced_air
229,1007229537,laundry_room
230,1007229537,recreation_facilities
231,1007229537,view
232,1007229537,single_story
233,1007229537,garage_1_or_more
234,1007229537,big_yard
235,1007229537,big_lot
236,1007229537,park
237,1007229537,shopping
238,1008022455,central_air
239,1008022455,central_heat
240,1008022455,family_room
241,1008022455,forced_air
242,1008022455,garage_1_or_more
243,1008022455,garage_2_or_more
244,1008022455,single_story
245,1008258248,central_air
246,1008258248,fireplace
247,1008258248,forced_air
248,1008258248,hill_or_mountain_view
249,1008258248,view
250,1008258248,basement
251,1008258248,garage_1_or_more
252,1008258248,garage_2_or_more
253,1008258248,two_or_more_stories
254,1008258248,new_roof
255,1008358888,central_air
256,1008358888,central_heat
257,1008358888,city_view
258,1008358888,community_outdoor_space
259,1008358888,dining_room
260,1008358888,disability_features
261,1008358888,family_room
262,1008358888,hardwood_floors
263,1008358888,hill_or_mountain_view
264,1008358888,laundry_room
265,1008358888,recreation_facilities
266,1008358888,rv_or_boat_parking
267,1008358888,view
268,1008358888,single_story
269,1008358888,garage_1_or_more
270,1008358888,garage_2_or_more
271,1008358888,garage_3_or_more
272,1008358888,high_ceiling
273,1008358888,master_bedroom
274,1008358888,views
275,1009575213,community_outdoor_space
276,1009575213,basement
277,1009575213,garage_1_or_more
278,1009575213,big_lot
279,1010212739,central_air
280,1010212739,community_outdoor_space
281,1010212739,dishwasher
282,1010212739,family_room
283,1010212739,fireplace
284,1010212739,hardwood_floors
285,1010212739,laundry_room
286,1010212739,recreation_facilities
287,1010212739,single_story
288,1010212739,garage_1_or_more
289,1010212739,garage_2_or_more
290,1010212739,groundscare
291,1010212739,shopping
292,1010483963,central_air
293,1010483963,central_heat
294,1010483963,city_view
295,1010483963,community_golf
296,1010483963,community_gym
297,1010483963,community_outdoor_space
298,1010483963,community_security_features
299,1010483963,community_tennis_court
300,1010483963,cul_de_sac
301,1010483963,den_or_office
302,1010483963,dishwasher
303,1010483963,family_room
304,1010483963,fireplace
305,1010483963,game_room
306,1010483963,golf_course_lot_or_frontage
307,1010483963,golf_course_view
308,1010483963,hill_or_mountain_view
309,1010483963,lake_view
310,1010483963,laundry_room
311,1010483963,pets_allowed
312,1010483963,recreation_facilities
313,1010483963,spa_or_hot_tub
314,1010483963,tennis_court
315,1010483963,view
316,1010483963,water_view
317,1010483963,community_swimming_pool
318,1010483963,two_or_more_stories
319,1010483963,garage_1_or_more
320,1010483963,garage_2_or_more
321,1010483963,garage_3_or_more
322,1010483963,basement
323,1010483963,granite_kitchen
324,1010483963,gourmet_kitchen
325,1010483963,wine_cellar
326,1010483963,ensuite
327,1010483963,clubhouse
328,1010483963,golf_course
329,1010483963,views
330,1010483963,lake
331,1011194952,city_view
332,1011194952,laundry_room
333,1011194952,recreation_facilities
334,1011194952,view
335,1011194952,single_story
336,1011194952,garage_1_or_more
337,1011194952,garage_2_or_more
338,1011194952,garage_3_or_more
339,1011194952,updated_kitchen
340,1011194952,big_yard
341,1011194952,rental_property
342,1011550461,central_air
343,1011550461,fireplace
344,1011550461,laundry_room
345,1011550461,single_story
346,1011550461,garage_1_or_more
347,1011550461,garage_2_or_more
348,1011550461,garage_3_or_more
349,1011550461,big_yard
350,1011550461,big_lot
351,1011550461,horse_stables
352,1011550461,equestrian
353,1012289207,carport
354,1012289207,laundry_room
355,1012289207,recreation_facilities
356,1012289207,single_story
357,1012289207,garage_1_or_more
358,1012289207,garage_2_or_more
359,1012289207,garage_3_or_more
360,1012289207,rental_property
361,1013043024,central_air
362,1013043024,city_view
363,1013043024,community_outdoor_space
364,1013043024,den_or_office
365,1013043024,dishwasher
366,1013043024,family_room
367,1013043024,fireplace
368,1013043024,laundry_room
369,1013043024,recreation_facilities
370,1013043024,view
371,1013043024,washer_dryer
372,1013043024,two_or_more_stories
373,1013043024,garage_1_or_more
374,1013043024,garage_2_or_more
375,1013043024,garage_3_or_more
376,1013043024,granite_kitchen
377,1013043024,cathedral_ceiling
378,1013043024,master_bedroom
379,1013043024,fruit_trees
380,1013043024,master_suite
381,1013043024,shopping
382,1013243845,central_air
383,1013243845,community_outdoor_space
384,1013243845,dining_room
385,1013243845,dishwasher
386,1013243845,family_room
387,1013243845,forced_air
388,1013243845,washer_dryer
389,1013243845,basement
390,1013243845,two_or_more_stories
391,1013243845,garage_1_or_more
392,1013243845,garage_2_or_more
393,1013243845,high_ceiling
394,1013243845,vaulted_ceiling
395,1013243845,ensuite
396,1013243845,views
397,1013460532,community_outdoor_space
398,1013460532,den_or_office
399,1013460532,dining_room
400,1013460532,family_room
401,1013460532,fireplace
402,1013460532,laundry_room
403,1013460532,recreation_facilities
404,1013460532,two_or_more_stories
405,1013460532,garage_1_or_more
406,1013460532,garage_2_or_more
407,1013460532,garage_3_or_more
408,1013460532,high_ceiling
409,1013460532,vaulted_ceiling
410,1013460532,park
411,1013460532,golf_course
412,1013879322,central_air
413,1013879322,community_outdoor_space
414,1013879322,dishwasher
415,1013879322,family_room
416,1013879322,fireplace
417,1013879322,forced_air
418,1013879322,laundry_room
419,1013879322,washer_dryer
420,1013879322,single_story
421,1013879322,garage_1_or_more
422,1013879322,garage_2_or_more
423,1013879322,garage_3_or_more
424,1013879322,open_floor_plan
425,1013879322,floor_plan
426,1013879322,big_lot
427,1013879322,horse_stables
428,1013879322,equestrian
429,1013879322,clubhouse
430,1014257422,community_outdoor_space
431,1014257422,dining_room
432,1014257422,dishwasher
433,1014257422,family_room
434,1014257422,fireplace
435,1014257422,forced_air
436,1014257422,view
437,1014257422,two_or_more_stories
438,1014257422,garage_1_or_more
439,1014257422,garage_2_or_more
440,1014257422,trails
441,1015044013,city_view
442,1015044013,fireplace
443,1015044013,laundry_room
444,1015044013,view
